,x,y,time,energy
22192,1.0502679443359375,1.0502679443359375,10,200
22193,1.0509910205078123,1.0509910205078123,10,200
22194,1.0517140966796874,1.0517140966796874,10,200
22195,1.0524371728515625,1.0524371728515625,10,200
22196,1.0531602490234375,1.0531602490234375,10,200
22197,1.0538833251953124,1.0538833251953124,10,200
22198,1.0546064013671874,1.0546064013671874,10,200
22199,1.0553294775390625,1.0553294775390625,10,200
22200,1.0560525537109373,1.0560525537109373,10,200
22201,1.0567756298828124,1.0567756298828124,10,200
22202,1.0574987060546874,1.0574987060546874,10,200
22203,1.0582217822265625,1.0582217822265625,10,200
22204,1.0589448583984373,1.0589448583984373,10,200
22205,1.0596679345703124,1.0596679345703124,10,200
22206,1.0603910107421874,1.0603910107421874,10,200
22207,1.0611140869140625,1.0611140869140625,10,200
22208,1.0618371630859373,1.0618371630859373,10,200
22209,1.0625602392578124,1.0625602392578124,10,200
22210,1.0632833154296875,1.0632833154296875,10,200
22211,1.0640063916015625,1.0640063916015625,10,200
22212,1.0647294677734374,1.0647294677734374,10,200
22213,1.0654525439453124,1.0654525439453124,10,200
22214,1.0661756201171875,1.0661756201171875,10,200
22215,1.0668986962890625,1.0668986962890625,10,200
22216,1.0676217724609374,1.0676217724609374,10,200
22217,1.0683448486328124,1.0683448486328124,10,200
22218,1.0690679248046875,1.0690679248046875,10,200
22219,1.0697910009765623,1.0697910009765623,10,200
22220,1.0705140771484374,1.0705140771484374,10,200
22221,1.0712371533203124,1.0712371533203124,10,200
22222,1.0719602294921875,1.0719602294921875,10,200
22223,1.0726833056640623,1.0726833056640623,10,200
22224,1.0734063818359374,1.0734063818359374,10,200
22225,1.0741294580078125,1.0741294580078125,10,200
22226,1.0748525341796875,1.0748525341796875,10,200
22227,1.0755756103515624,1.0755756103515624,10,200
22228,1.0762986865234374,1.0762986865234374,10,200
22229,1.0770217626953125,1.0770217626953125,10,200
22230,1.0777448388671875,1.0777448388671875,10,200
22231,1.0784679150390624,1.0784679150390624,10,200
22232,1.0791909912109374,1.0791909912109374,10,200
22233,1.0799140673828125,1.0799140673828125,10,200
22234,1.0806371435546873,1.0806371435546873,10,200
22235,1.0813602197265624,1.0813602197265624,10,200
22236,1.0820832958984374,1.0820832958984374,10,200
22237,1.0828063720703125,1.0828063720703125,10,200
22238,1.0835294482421873,1.0835294482421873,10,200
22239,1.0842525244140624,1.0842525244140624,10,200
22240,1.0849756005859374,1.0849756005859374,10,200
22241,1.0856986767578125,1.0856986767578125,10,200
22242,1.0864217529296873,1.0864217529296873,10,200
22243,1.0871448291015624,1.0871448291015624,10,200
22244,1.0878679052734375,1.0878679052734375,10,200
22245,1.0885909814453125,1.0885909814453125,10,200
22246,1.0893140576171874,1.0893140576171874,10,200
22247,1.0900371337890624,1.0900371337890624,10,200
22248,1.0907602099609375,1.0907602099609375,10,200
22249,1.0914832861328123,1.0914832861328123,10,200
22250,1.0922063623046874,1.0922063623046874,10,200
22251,1.0929294384765624,1.0929294384765624,10,200
22252,1.0936525146484375,1.0936525146484375,10,200
22253,1.0943755908203123,1.0943755908203123,10,200
22254,1.0950986669921874,1.0950986669921874,10,200
22255,1.0958217431640624,1.0958217431640624,10,200
22256,1.0965448193359375,1.0965448193359375,10,200
22257,1.0972678955078123,1.0972678955078123,10,200
22258,1.0979909716796874,1.0979909716796874,10,200
22259,1.0987140478515625,1.0987140478515625,10,200
22260,1.0994371240234375,1.0994371240234375,10,200
22261,1.1001602001953124,1.1001602001953124,10,200
22262,1.1008832763671874,1.1008832763671874,10,200
22263,1.1016063525390625,1.1016063525390625,10,200
22264,1.1023294287109373,1.1023294287109373,10,200
22265,1.1030525048828124,1.1030525048828124,10,200
22266,1.1037755810546874,1.1037755810546874,10,200
22267,1.1044986572265625,1.1044986572265625,10,200
22268,1.1052217333984373,1.1052217333984373,10,200
22269,1.1059448095703124,1.1059448095703124,10,200
22270,1.1066678857421874,1.1066678857421874,10,200
22271,1.1073909619140625,1.1073909619140625,10,200
22272,1.1081140380859373,1.1081140380859373,10,200
22273,1.1088371142578124,1.1088371142578124,10,200
22274,1.1095601904296875,1.1095601904296875,10,200
22275,1.1102832666015625,1.1102832666015625,10,200
22276,1.1110063427734373,1.1110063427734373,10,200
22277,1.1117294189453124,1.1117294189453124,10,200
22278,1.1124524951171875,1.1124524951171875,10,200
22279,1.1131755712890625,1.1131755712890625,10,200
22280,1.1138986474609374,1.1138986474609374,10,200
22281,1.1146217236328124,1.1146217236328124,10,200
22282,1.1153447998046875,1.1153447998046875,10,200
22283,1.1160678759765623,1.1160678759765623,10,200
22284,1.1167909521484374,1.1167909521484374,10,200
22285,1.1175140283203124,1.1175140283203124,10,200
22286,1.1182371044921875,1.1182371044921875,10,200
22287,1.1189601806640623,1.1189601806640623,10,200
22288,1.1196832568359374,1.1196832568359374,10,200
22289,1.1204063330078124,1.1204063330078124,10,200
22290,1.1211294091796875,1.1211294091796875,10,200
22291,1.1218524853515623,1.1218524853515623,10,200
22292,1.1225755615234374,1.1225755615234374,10,200
22293,1.1232986376953125,1.1232986376953125,10,200
22294,1.1240217138671875,1.1240217138671875,10,200
22295,1.1247447900390624,1.1247447900390624,10,200
22296,1.1254678662109374,1.1254678662109374,10,200
22297,1.1261909423828125,1.1261909423828125,10,200
22298,1.1269140185546873,1.1269140185546873,10,200
22299,1.1276370947265624,1.1276370947265624,10,200
22300,1.1283601708984374,1.1283601708984374,10,200
22301,1.1290832470703125,1.1290832470703125,10,200
22302,1.1298063232421873,1.1298063232421873,10,200
22303,1.1305293994140624,1.1305293994140624,10,200
22304,1.1312524755859374,1.1312524755859374,10,200
22305,1.1319755517578125,1.1319755517578125,10,200
22306,1.1326986279296873,1.1326986279296873,10,200
22307,1.1334217041015624,1.1334217041015624,10,200
22308,1.1341447802734375,1.1341447802734375,10,200
22309,1.1348678564453125,1.1348678564453125,10,200
22310,1.1355909326171874,1.1355909326171874,10,200
22311,1.1363140087890624,1.1363140087890624,10,200
22312,1.1370370849609375,1.1370370849609375,10,200
22313,1.1377601611328123,1.1377601611328123,10,200
22314,1.1384832373046874,1.1384832373046874,10,200
22315,1.1392063134765624,1.1392063134765624,10,200
22316,1.1399293896484375,1.1399293896484375,10,200
22317,1.1406524658203123,1.1406524658203123,10,200
22318,1.1413755419921874,1.1413755419921874,10,200
22319,1.1420986181640624,1.1420986181640624,10,200
22320,1.1428216943359375,1.1428216943359375,10,200
22321,1.1435447705078123,1.1435447705078123,10,200
22322,1.1442678466796874,1.1442678466796874,10,200
22323,1.1449909228515625,1.1449909228515625,10,200
22324,1.1457139990234375,1.1457139990234375,10,200
22325,1.1464370751953123,1.1464370751953123,10,200
22326,1.1471601513671874,1.1471601513671874,10,200
22327,1.1478832275390625,1.1478832275390625,10,200
22328,1.1486063037109373,1.1486063037109373,10,200
22329,1.1493293798828124,1.1493293798828124,10,200
22330,1.1500524560546874,1.1500524560546874,10,200
22331,1.1507755322265625,1.1507755322265625,10,200
22332,1.1514986083984373,1.1514986083984373,10,200
22333,1.1522216845703124,1.1522216845703124,10,200
22334,1.1529447607421874,1.1529447607421874,10,200
22335,1.1536678369140625,1.1536678369140625,10,200
22336,1.1543909130859373,1.1543909130859373,10,200
22337,1.1551139892578124,1.1551139892578124,10,200
22338,1.1558370654296874,1.1558370654296874,10,200
22339,1.1565601416015625,1.1565601416015625,10,200
22340,1.1572832177734373,1.1572832177734373,10,200
22341,1.1580062939453124,1.1580062939453124,10,200
22342,1.1587293701171875,1.1587293701171875,10,200
22343,1.1594524462890625,1.1594524462890625,10,200
22344,1.1601755224609374,1.1601755224609374,10,200
22345,1.1608985986328124,1.1608985986328124,10,200
22346,1.1616216748046875,1.1616216748046875,10,200
22347,1.1623447509765623,1.1623447509765623,10,200
22348,1.1630678271484374,1.1630678271484374,10,200
22349,1.1637909033203124,1.1637909033203124,10,200
22350,1.1645139794921875,1.1645139794921875,10,200
22351,1.1652370556640623,1.1652370556640623,10,200
22352,1.1659601318359374,1.1659601318359374,10,200
22353,1.1666832080078124,1.1666832080078124,10,200
22354,1.1674062841796875,1.1674062841796875,10,200
22355,1.1681293603515623,1.1681293603515623,10,200
22356,1.1688524365234374,1.1688524365234374,10,200
22357,1.1695755126953125,1.1695755126953125,10,200
22358,1.1702985888671875,1.1702985888671875,10,200
22359,1.1710216650390624,1.1710216650390624,10,200
22360,1.1717447412109374,1.1717447412109374,10,200
22361,1.1724678173828125,1.1724678173828125,10,200
22362,1.1731908935546873,1.1731908935546873,10,200
22363,1.1739139697265624,1.1739139697265624,10,200
22364,1.1746370458984374,1.1746370458984374,10,200
22365,1.1753601220703125,1.1753601220703125,10,200
22366,1.1760831982421873,1.1760831982421873,10,200
22367,1.1768062744140624,1.1768062744140624,10,200
22368,1.1775293505859374,1.1775293505859374,10,200
22369,1.1782524267578125,1.1782524267578125,10,200
22370,1.1789755029296873,1.1789755029296873,10,200
22371,1.1796985791015624,1.1796985791015624,10,200
22372,1.1804216552734375,1.1804216552734375,10,200
