,Unnamed: 0,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6,dif7,sigma_dif7,dif7_high,dif7_low,dif7_median,match7,sigma_match7,match7_high,match7_low,match7_median,spectrum7
20,20,164483.62883090109,141893.77595578405,187177.168977958,0.0,0.0,0.0,0.0,0.0,79168.20322363153,9.031918369219474e-12,79168.20322363179,79168.20322363179,79168.20322363179,79168.20322363179,0.0,0.0,0.0,0.0,0.0,73936.11170509158,1.423599656698683e-11,73936.11170509155,73936.11170509155,73936.11170509155,73936.11170509155,0.0,0.0,0.0,0.0,0.0,110472.4920543242,5.0947156165661814e-12,110472.49205432423,110472.49205432423,110472.49205432423,110472.49205432423,0.0,0.0,0.0,0.0,0.0,76215.53410813323,1.3984672228151047e-11,76215.53410813319,76215.53410813319,76215.53410813319,76215.53410813319
21,21,179740.02518759415,154078.91535273453,206583.803573452,0.0,0.0,0.0,0.0,0.0,84679.23435743024,8.639560629394188e-12,84679.23435743048,84679.23435743048,84679.23435743048,84679.23435743048,0.0,0.0,0.0,0.0,0.0,78702.07965586492,1.4147761314100143e-11,78702.07965586486,78702.07965586486,78702.07965586486,78702.07965586486,0.0,0.0,0.0,0.0,0.0,115837.87952570898,3.40550396982257e-12,115837.87952570901,115837.87952570901,115837.87952570901,115837.87952570901,0.0,0.0,0.0,0.0,0.0,79713.66239564269,1.4246931019034953e-11,79713.66239564266,79713.66239564266,79713.66239564266,79713.66239564266
22,22,197107.23967721508,167371.80601444305,227191.17553499696,0.0,0.0,0.0,0.0,0.0,90616.30051140374,7.933443153734956e-12,90616.30051140398,90616.30051140398,90616.30051140398,90616.30051140398,0.0,0.0,0.0,0.0,0.0,83913.03170239515,1.3522349741625715e-11,83913.03170239508,83913.03170239508,83913.03170239508,83913.03170239508,0.0,0.0,0.0,0.0,0.0,121596.0522931267,2.0527199363940415e-12,121596.0522931267,121596.0522931267,121596.0522931267,121596.0522931267,0.0,0.0,0.0,0.0,0.0,83496.45899303135,1.4023513985520552e-11,83496.45899303132,83496.45899303132,83496.45899303132,83496.45899303132
23,23,216984.594937605,182467.66349927595,250960.3688199813,0.0,0.0,0.0,0.0,0.0,96983.11059844463,6.990084727270983e-12,96983.11059844484,96983.11059844484,96983.11059844484,96983.11059844484,0.0,0.0,0.0,0.0,0.0,89620.86044673916,1.2386036850037803e-11,89620.86044673908,89620.86044673908,89620.86044673908,89620.86044673908,0.0,0.0,0.0,0.0,0.0,127780.58665572695,1.0584645139183089e-12,127780.58665572695,127780.58665572695,127780.58665572695,127780.58665572695,0.0,0.0,0.0,0.0,0.0,87588.14111026058,1.3276384758365948e-11,87588.14111026056,87588.14111026056,87588.14111026056,87588.14111026056
24,24,239832.22154471907,200931.54612641266,277433.3317891177,0.0,0.0,0.0,0.0,0.0,103793.64809538258,5.911712873223807e-12,103793.64809538277,103793.64809538277,103793.64809538277,103793.64809538277,0.0,0.0,0.0,0.0,0.0,95887.17512915313,1.0820461725187363e-11,95887.17512915301,95887.17512915301,95887.17512915301,95887.17512915301,0.0,0.0,0.0,0.0,0.0,134427.4271537136,4.0598656189176285e-13,134427.4271537136,134427.4271537136,134427.4271537136,134427.4271537136,0.0,0.0,0.0,0.0,0.0,92010.67609024826,1.2045008334574011e-11,92010.67609024825,92010.67609024825,92010.67609024825,92010.67609024825
25,25,266164.8543494552,220551.42960243585,310342.9095636446,0.0,0.0,0.0,0.0,0.0,111076.78036418855,4.794436890810896e-12,111076.78036418873,111076.78036418873,111076.78036418873,111076.78036418873,0.0,0.0,0.0,0.0,0.0,102786.18657157783,8.974529700421064e-12,102786.18657157774,102786.18657157774,102786.18657157774,102786.18657157774,0.0,0.0,0.0,0.0,0.0,141585.57142959005,8.299609532752161e-14,141585.57142959005,141585.57142959005,141585.57142959005,141585.57142959005,0.0,0.0,0.0,0.0,0.0,96788.83991394713,1.0421325408772676e-11,96788.83991394713,96788.83991394713,96788.83991394713,96788.83991394713
26,26,296673.5041200987,243945.7149963638,347660.2104471693,0.0,0.0,0.0,0.0,0.0,118873.32919055324,3.697083897554142e-12,118873.32919055336,118873.32919055336,118873.32919055336,118873.32919055336,0.0,0.0,0.0,0.0,0.0,110404.40971077733,6.986029081713197e-12,110404.40971077724,110404.40971077724,110404.40971077724,110404.40971077724,0.0,0.0,0.0,0.0,0.0,149315.83340570706,0.0,149315.83340570706,149315.83340570706,149315.83340570706,149315.83340570706,0.0,0.0,0.0,0.0,0.0,101955.93979142324,8.539789172345192e-12,101955.93979142324,101955.93979142324,101955.93979142324,101955.93979142324
27,27,332210.5043290758,270140.2709195559,391795.5542735317,0.0,0.0,0.0,0.0,0.0,127235.35206997025,2.6970710697952117e-12,127235.35206997035,127235.35206997035,127235.35206997035,127235.35206997035,0.0,0.0,0.0,0.0,0.0,118845.86666140203,5.0289467182031785e-12,118845.86666140196,118845.86666140196,118845.86666140196,118845.86666140196,0.0,0.0,0.0,0.0,0.0,157684.11769525506,0.0,157684.11769525506,157684.11769525506,157684.11769525506,157684.11769525506,0.0,0.0,0.0,0.0,0.0,107554.47612121918,6.583544247719366e-12,107554.47612121917,107554.47612121917,107554.47612121917,107554.47612121917
28,28,373799.3738569649,301524.93654363486,443246.2162406915,0.0,0.0,0.0,0.0,0.0,136224.82418411144,1.8612672665558037e-12,136224.8241841115,136224.8241841115,136224.8241841115,136224.8241841115,0.0,0.0,0.0,0.0,0.0,128230.15284677599,3.294613827407157e-12,128230.15284677596,128230.15284677596,128230.15284677596,128230.15284677596,0.0,0.0,0.0,0.0,0.0,166766.90439369995,0.0,166766.90439369995,166766.90439369995,166766.90439369995,166766.90439369995,0.0,0.0,0.0,0.0,0.0,113644.53991918488,4.743831102914047e-12,113644.53991918484,113644.53991918484,113644.53991918484,113644.53991918484
29,29,422681.4038020861,336454.97828006983,505416.97594522685,0.0,0.0,0.0,0.0,0.0,145918.65670266206,1.1972487034216145e-12,145918.65670266212,145918.65670266212,145918.65670266212,145918.65670266212,0.0,0.0,0.0,0.0,0.0,138689.66818555698,1.9087252174947695e-12,138689.66818555695,138689.66818555695,138689.66818555695,138689.66818555695,0.0,0.0,0.0,0.0,0.0,176649.09960989913,0.0,176649.09960989913,176649.09960989913,176649.09960989913,176649.09960989913,0.0,0.0,0.0,0.0,0.0,120315.71147025506,3.178513155595777e-12,120315.71147025506,120315.71147025506,120315.71147025506,120315.71147025506
