,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6
249,938.4166048777117,840.3386296825038,1037.1255126610401,0.0,0.0,0.0,0.0,0.0,1513.6864520325696,1.3308806173737465e-13,1513.686452032567,1513.686452032567,1513.686452032567,1513.686452032567,0.0,0.0,0.0,0.0,0.0,1564.628767406095,2.769005284098085e-13,1564.6287674060948,1564.6287674060948,1564.6287674060948,1564.6287674060948,0.0,0.0,0.0,0.0,0.0,1397.1078968576871,1.3247979877907697e-13,1397.1078968576821,1397.1078968576821,1397.1078968576821,1397.1078968576821
250,932.8028903507061,832.9973825791321,1033.1705555403212,0.0,0.0,0.0,0.0,0.0,1506.2123484669207,1.3047866355075697e-13,1506.212348466918,1506.212348466918,1506.212348466918,1506.212348466918,0.0,0.0,0.0,0.0,0.0,1533.6525194338133,2.6855071938590763e-13,1533.6525194338142,1533.6525194338142,1533.6525194338142,1533.6525194338142,0.0,0.0,0.0,0.0,0.0,1367.8565237876523,1.2397543041822557e-13,1367.8565237876464,1367.8565237876464,1367.8565237876464,1367.8565237876464
251,927.3273662902157,826.6793866920358,1026.5825221542218,0.0,0.0,0.0,0.0,0.0,1501.4486796613312,1.292916454572598e-13,1501.4486796613282,1501.4486796613282,1501.4486796613282,1501.4486796613282,0.0,0.0,0.0,0.0,0.0,1503.7007655046734,2.5573873872315017e-13,1503.7007655046752,1503.7007655046752,1503.7007655046752,1503.7007655046752,0.0,0.0,0.0,0.0,0.0,1341.7334695385457,1.1630135437897097e-13,1341.7334695385398,1341.7334695385398,1341.7334695385398,1341.7334695385398
252,921.8204217510493,821.6415669339079,1024.1423529599524,0.0,0.0,0.0,0.0,0.0,1499.2098537406412,1.283588252963045e-13,1499.209853740638,1499.209853740638,1499.209853740638,1499.209853740638,0.0,0.0,0.0,0.0,0.0,1475.7450214369724,2.405013703194549e-13,1475.745021436975,1475.745021436975,1475.745021436975,1475.745021436975,0.0,0.0,0.0,0.0,0.0,1319.9812761127655,1.102891758757249e-13,1319.9812761127598,1319.9812761127598,1319.9812761127598,1319.9812761127598
253,916.281815866567,815.7161487305588,1018.5098813649856,0.0,0.0,0.0,0.0,0.0,1499.1468065116915,1.2778128860652673e-13,1499.1468065116885,1499.1468065116885,1499.1468065116885,1499.1468065116885,0.0,0.0,0.0,0.0,0.0,1451.457847024487,2.2578663346298608e-13,1451.45784702449,1451.45784702449,1451.45784702449,1451.45784702449,0.0,0.0,0.0,0.0,0.0,1303.319186404662,1.0659040773787539e-13,1303.3191864046569,1303.3191864046569,1303.3191864046569,1303.3191864046569
254,910.7114224638456,811.3761952750142,1014.6811964793004,0.0,0.0,0.0,0.0,0.0,1501.0742494659844,1.289184344391615e-13,1501.0742494659817,1501.0742494659817,1501.0742494659817,1501.0742494659817,0.0,0.0,0.0,0.0,0.0,1432.7253515770203,2.1383750520955545e-13,1432.7253515770237,1432.7253515770237,1432.7253515770237,1432.7253515770237,0.0,0.0,0.0,0.0,0.0,1292.1348335883745,1.0560586888545944e-13,1292.13483358837,1292.13483358837,1292.13483358837,1292.13483358837
255,905.1091273054744,805.0298137926317,1010.2375194904323,0.0,0.0,0.0,0.0,0.0,1504.5140544605567,1.316470353986072e-13,1504.5140544605542,1504.5140544605542,1504.5140544605542,1504.5140544605542,0.0,0.0,0.0,0.0,0.0,1421.2680510565483,2.0594885901525064e-13,1421.268051056552,1421.268051056552,1421.268051056552,1421.268051056552,0.0,0.0,0.0,0.0,0.0,1286.0552560854403,1.0744224937983063e-13,1286.0552560854367,1286.0552560854367,1286.0552560854367,1286.0552560854367
256,899.4749624758159,800.7706888532326,1004.1289718303419,0.0,0.0,0.0,0.0,0.0,1508.446637185043,1.3567140523230175e-13,1508.4466371850413,1508.4466371850413,1508.4466371850413,1508.4466371850413,0.0,0.0,0.0,0.0,0.0,1418.0444310993053,2.0232714510543585e-13,1418.0444310993098,1418.0444310993098,1418.0444310993098,1418.0444310993098,0.0,0.0,0.0,0.0,0.0,1284.730729700028,1.119005489000446e-13,1284.7307297000257,1284.7307297000257,1284.7307297000257,1284.7307297000257
257,893.8090673662592,793.7303646880148,998.583038357336,0.0,0.0,0.0,0.0,0.0,1512.5058130392024,1.4055544102423248e-13,1512.5058130392013,1512.5058130392013,1512.5058130392013,1512.5058130392013,0.0,0.0,0.0,0.0,0.0,1422.5065544698386,2.0141961139468204e-13,1422.5065544698432,1422.5065544698432,1422.5065544698432,1422.5065544698432,0.0,0.0,0.0,0.0,0.0,1287.9111354204754,1.1784923452069522e-13,1287.9111354204738,1287.9111354204738,1287.9111354204738,1287.9111354204738
258,888.1116706985663,786.6838874986037,994.9479010162196,0.0,0.0,0.0,0.0,0.0,1517.3779387417476,1.4576988171272019e-13,1517.3779387417476,1517.3779387417476,1517.3779387417476,1517.3779387417476,0.0,0.0,0.0,0.0,0.0,1433.1492506976178,2.020277892528934e-13,1433.1492506976226,1433.1492506976226,1433.1492506976226,1433.1492506976226,0.0,0.0,0.0,0.0,0.0,1293.5614959823997,1.23995266856671e-13,1293.5614959823997,1293.5614959823997,1293.5614959823997,1293.5614959823997
259,882.3829731520942,781.3524863695842,989.233598108294,0.0,0.0,0.0,0.0,0.0,1522.3609746336415,1.507496617387833e-13,1522.3609746336422,1522.3609746336422,1522.3609746336422,1522.3609746336422,0.0,0.0,0.0,0.0,0.0,1448.0706694433898,2.0473418016702715e-13,1448.0706694433948,1448.0706694433948,1448.0706694433948,1448.0706694433948,0.0,0.0,0.0,0.0,0.0,1298.922643674512,1.296726279388514e-13,1298.922643674513,1298.922643674513,1298.922643674513,1298.922643674513
260,876.6233674949348,776.950244169984,984.4982544050943,0.0,0.0,0.0,0.0,0.0,1524.3061742303207,1.549551446673496e-13,1524.3061742303219,1524.3061742303219,1524.3061742303219,1524.3061742303219,0.0,0.0,0.0,0.0,0.0,1464.6419947037625,2.0924550468755515e-13,1464.6419947037684,1464.6419947037684,1464.6419947037684,1464.6419947037684,0.0,0.0,0.0,0.0,0.0,1302.3928117912342,1.3426608760064836e-13,1302.3928117912365,1302.3928117912365,1302.3928117912365,1302.3928117912365
261,870.8332987280527,769.2436427887642,980.8332225322052,0.0,0.0,0.0,0.0,0.0,1518.9664146517127,1.5857900816306408e-13,1518.966414651714,1518.966414651714,1518.966414651714,1518.966414651714,0.0,0.0,0.0,0.0,0.0,1479.4632003346505,2.1377607681277326e-13,1479.4632003346564,1479.4632003346564,1479.4632003346564,1479.4632003346564,0.0,0.0,0.0,0.0,0.0,1302.7274355253398,1.369536697154628e-13,1302.727435525343,1302.727435525343,1302.727435525343,1302.727435525343
262,865.0129069798085,763.877453406146,976.3413923542497,8.184006111135478e-05,3.8401185521102895e-05,4.112931626975196e-05,0.00012117774891347747,8.530134294852773e-05,1503.2892746063767,4.116381010159886e-05,1503.2892342709902,1503.2893143194228,1503.289270147396,1503.2893554487391,0.0001749486336140609,4.116380994032335e-05,0.00013523558948374972,0.00021528402212682684,0.00017940761616284972,1488.9189926565953,4.116381015556467e-05,1488.918952321213,1488.9190323696457,1488.918988197619,1488.919167605235,9.587865884015831e-05,3.916379013551971e-05,5.5502166673825124e-05,0.00013555059931755063,9.96741933532493e-05,1298.6765240881064,4.116381007679523e-05,1298.6764837527217,1298.6765638011543,1298.6765196291276,1298.6766193033213
263,859.1503704614504,756.1128877857756,969.6798228760788,0.0004599421896992653,0.0001979848794834416,0.0002527160791341623,0.0006617263264219802,0.00047785221534252925,1477.8531879369712,0.000210299487123482,1477.8529818003026,1477.85339081055,1477.853165674414,1477.8536435266292,0.0008304431494862507,0.0002090303304572551,0.0006271982938416682,0.0010362085411269627,0.0008523344300516209,1490.7721262588057,0.0002102994871735803,1490.7719201221423,1490.7723291323896,1490.7721039962535,1490.7729563306837,0.00046040955589860054,0.00019801948558232515,0.0002532055114718791,0.0006622157587587245,0.00047834164768212106,1289.2548103643098,0.00021029948709358506,1289.2546042276444,1289.2550132378915,1289.2547881017554,1289.2552664434031
264,853.2297749909808,748.4760829181513,961.3355350422787,0.0014626359177180319,0.0005707105758997696,0.0008733778032121459,0.0020404653524180704,0.001514585358413728,1445.470225482315,0.0006001498799332263,1445.4696374166783,1445.4708045042278,1445.4701632966726,1445.471677882031,0.0021882864919030064,0.0005919732891002996,0.0016067662841040317,0.002773853833303886,0.002247973839309262,1484.0011099547664,0.0006001498799779877,1484.0005218891351,1484.0016889766844,1484.0010477691294,1484.0032957429685,0.0013058976973880304,0.0005635971865537637,0.0007138141172349343,0.0018809016664357772,0.001355021672439415,1274.8057779177786,0.0006001498798975587,1274.8051898521455,1274.806356939695,1274.8057157321396,1274.807070753812
265,847.2741028907159,743.1109142399606,956.4578777385001,0.003518293060347032,0.0012509449934110114,0.0022430366697088954,0.004776196756445807,0.0036334404757249793,1408.793358412364,0.0013035578566385462,1408.7920824139942,1408.794615574081,1408.793225170275,1408.7968586107506,0.004409302516319238,0.0012757657619991403,0.003143418428751246,0.0056765785154779015,0.004533822234773942,1467.7780070379845,0.0013035578566764545,1467.77673103962,1467.7792641997069,1467.7778737959009,1467.7824076181355,0.0028403458824655995,0.0012223486241194088,0.00155407081707769,0.004087230903801748,0.002944474623096734,1255.96524512838,0.0013035578565976885,1255.963969130014,1255.9665022901008,1255.9651118862946,1255.968056360918
266,841.2852603778726,737.1463884929271,952.412986431395,0.007159828047790903,0.0023291008688336307,0.0048135955891812025,0.009487131547772878,0.007377813687837093,1370.4262563790398,0.002408501838128149,1370.4239019810357,1370.4285755169942,1370.4260112988954,1370.4333891125834,0.0075852248986088494,0.002337653936875659,0.00524317826194089,0.009916714220519885,0.007807396360607909,1441.954593262259,0.002408501838157784,1441.95223886426,1441.9569124002185,1441.9543481821197,1441.9621555784806,0.005127756162134575,0.002241251791349164,0.0027455917086270393,0.007419127667195914,0.005309809807284495,1232.6591749641516,0.0024085018380838757,1232.6568205661506,1232.6614941021094,1232.6589298840106,1232.664239693818
267,835.2699774601128,729.9163948639331,945.6359721102265,0.013051330116259332,0.003887640534914852,0.009181967460227383,0.01691367802022334,0.013421634817254977,1333.3610584809467,0.00399454125019596,1333.3571598726198,1333.36489158318,1333.360651915823,1333.37407355064,0.012061572309695017,0.0038535859490739324,0.00818192889436221,0.015913639454345083,0.012421596251406515,1408.1541525163389,0.0039945412502161185,1408.150253908017,1408.1579856185772,1408.1537459512201,1408.1661675474716,0.0081754576427833,0.003674853796415498,0.004215079645653555,0.01194679020561664,0.008454747002680337,1205.360442707758,0.003994541250151057,1205.3565440994348,1205.364275809995,1205.360036142638,1205.3684908896405
268,829.2301182192077,719.6990852519797,938.8046691551276,0.021520614268637276,0.0059927792792168495,0.015622543364354244,0.02744760928287331,0.02209862338342111,1300.555571089725,0.0061310055024902214,1300.549597645853,1300.5614227117715,1300.5549466317525,1300.577045255136,0.018285385201136605,0.005896736622044709,0.012355635076333561,0.024180700994840557,0.018831715095423175,1369.209959009323,0.006131005502500674,1369.2039855654555,1369.215810631374,1369.209334551355,1369.2281662664504,0.012195934284670903,0.005588924772374419,0.0061216154328825444,0.017946681351360936,0.012597695451945666,1175.717442535333,0.006131005502447511,1175.711469091464,1175.7232941573825,1175.7168180773638,1175.7294157728154
269,823.1567931225673,710.8230773634378,938.4681093484115,0.03295560083589623,0.008701348032432261,0.02448040981150259,0.041533981558735944,0.03380337628020105,1275.402494118181,0.008877425067113514,1275.3938573320256,1275.410910903773,1275.4015879373042,1275.4353913135842,0.02663794853263072,0.008532996591317898,0.018105847343413667,0.03515941909063727,0.027428813812140396,1328.4162375252063,0.00887742506711569,1328.407600739055,1328.424654310802,1328.4153313443335,1328.4427601581456,0.017517207867621058,0.00805229775751326,0.008756844464617754,0.025810416211806388,0.018079810933309293,1145.7961283031727,0.008877425067074902,1145.78749151702,1145.804545088767,1145.7952221222986,1145.8133019332317
270,817.0189888959628,702.4072577112902,929.862348196121,0.048087793062607076,0.012070622593583718,0.03644958416082763,0.059958029283655734,0.049276685610762885,1261.2285801503017,0.01228697402035657,1261.2166390796142,1261.240147524737,1261.2273204232872,1261.276597108898,0.037690358935872484,0.011827477089286085,0.025968910526480864,0.049477355649303244,0.03879601197644781,1290.3533525047685,0.012286974020352129,1290.3414114340844,1290.3649198792068,1290.3520927777572,1290.3908887897337,0.02425235352317578,0.011114859451371816,0.012195501311484367,0.035703946434268545,0.02502260276140929,1117.4078681758556,0.012286974020322906,1117.39592710517,1117.4194355502927,1117.4066084488427,1117.4316310516042
