,pred,pred_high,pred_low,dif15,sigma_dif15,dif15_high,dif15_low,dif15_median,match15,sigma_match15,match15_high,match15_low,match15_median,spectrum15
48,63815.62412635201,57083.96545068006,69513.11631509234,0.0,0.0,0.0,0.0,0.0,67705.57986095642,7.275957614183426e-12,67705.5798609564,67705.5798609564,67705.5798609564,67705.5798609564
49,57513.52474386094,51584.6068530987,62701.753235866134,0.0,0.0,0.0,0.0,0.0,61393.1742404454,7.275957614183426e-12,61393.17424044524,61393.17424044524,61393.17424044524,61393.17424044524
50,51971.68168388278,46588.82419515926,56650.065701198575,0.0,0.0,0.0,0.0,0.0,55618.98324252451,9.286982838603006e-12,55618.983242524366,55618.983242524366,55618.983242524366,55618.983242524366
51,47089.642900483836,42210.781400573054,51330.747245014456,0.0,0.0,0.0,0.0,0.0,50025.21724597377,1.153537739173748e-11,50025.217245973836,50025.217245973836,50025.217245973836,50025.217245973836
52,42779.97530830235,38414.009708445454,46619.82370949747,0.0,0.0,0.0,0.0,0.0,45021.74801743907,1.0913936421275139e-11,45021.74801743925,45021.74801743925,45021.74801743925,45021.74801743925
53,38996.383124944114,35057.538577265885,42489.49579786277,0.0,0.0,0.0,0.0,0.0,40839.25225737938,7.275957614183426e-12,40839.25225737946,40839.25225737946,40839.25225737946,40839.25225737946
54,35638.15527206217,32050.252090908605,38828.803426620565,0.0,0.0,0.0,0.0,0.0,37055.32619500257,3.637978807091713e-12,37055.326195002635,37055.326195002635,37055.326195002635,37055.326195002635
55,32627.401968086615,29344.41376369453,35477.638261187414,0.0,0.0,0.0,0.0,0.0,33602.52444729822,2.0110252244195804e-12,33602.52444729836,33602.52444729836,33602.52444729836,33602.52444729836
56,29945.10886184168,26967.825516831817,32542.226011027018,0.0,0.0,0.0,0.0,0.0,30758.127090031612,2.6324661948819228e-12,30758.12709003177,30758.12709003177,30758.12709003177,30758.12709003177
57,27548.75472035275,24797.12952086974,29938.491191403584,0.0,0.0,0.0,0.0,0.0,28324.412593805453,3.637978807091713e-12,28324.412593805555,28324.412593805555,28324.412593805555,28324.412593805555
58,25402.37327472407,22900.720587211064,27587.083438920967,0.0,0.0,0.0,0.0,0.0,25990.776491562916,3.637978807091713e-12,25990.77649156296,25990.77649156296,25990.77649156296,25990.77649156296
59,23489.82507342591,21180.72255061323,25541.15878664708,0.0,0.0,0.0,0.0,0.0,23843.69682971974,3.135222500986818e-12,23843.696829719756,23843.696829719756,23843.696829719756,23843.696829719756
60,21766.572919768965,19648.248117876617,23629.899444477363,0.0,0.0,0.0,0.0,0.0,21972.3514076607,2.321745709650752e-12,21972.351407660717,21972.351407660717,21972.351407660717,21972.351407660717
61,20198.06326403167,18245.16950548032,21911.45566687515,0.0,0.0,0.0,0.0,0.0,20311.57420139658,1.8189894035458565e-12,20311.57420139659,20311.57420139659,20311.57420139659,20311.57420139659
62,18778.78779401554,16986.96961786488,20399.043907924657,0.0,0.0,0.0,0.0,0.0,18819.598337219388,1.8189894035458565e-12,18819.598337219377,18819.598337219377,18819.598337219377,18819.598337219377
63,17490.97558876102,15825.918896804851,18999.106476843568,0.0,0.0,0.0,0.0,0.0,17456.24434761554,1.3162330974409614e-12,17456.244347615517,17456.244347615517,17456.244347615517,17456.244347615517
64,16319.458010782242,14791.570757644566,17737.301222020687,0.0,0.0,0.0,0.0,0.0,16183.77625431473,5.027563061048952e-13,16183.7762543147,16183.7762543147,16183.7762543147,16183.7762543147
65,15251.037376750872,13821.31773488276,16601.626489163118,0.0003613217531562119,0.0015029501587823194,0.0,0.0,0.0,14907.317551149823,0.019938381418829962,14907.294797627823,14907.339031427506,14907.32427687474,14907.291816330922
66,14281.847366347592,12947.70675210344,15541.331981338612,0.003212157910101339,0.00986567098122296,0.0,0.0027705528183446116,0.0,13650.433803995358,0.09708525883111704,13650.323262902191,13650.537783691083,13650.466052107833,13650.318228318394
67,13393.011503984973,12150.249899210525,14557.069766273413,0.014724100854146018,0.036302296986707616,0.0,0.02641386662546854,0.0,12626.53466446951,0.26639910394378474,12626.231211855598,12626.81823863916,12626.6221501216,12626.24982058561
68,12569.392694753338,11398.203857091294,13654.744571427122,0.02765262314849224,0.06695000594904883,0.0,0.057416150526021725,0.0,11811.514588081103,0.5899533071141556,11810.842548351133,11812.144331455009,11811.70406179998,11810.817069515842
69,11810.98213813144,10717.088156034022,12849.959025475657,0.02731572104957443,0.07969421830045545,0.0,0.05293330189831333,0.0,10975.031731255958,1.2135053519037584,10973.649658382425,10976.3413781213,10975.413159588123,10973.355684158218
70,11111.02053829067,10081.256766952947,12098.967650881475,0.024661376912836534,0.10916757595949916,0.0,0.019160465179415543,0.0,10157.963131657676,2.3923447951939294,10155.234640881268,10160.57536851335,10158.708288232014,10154.484942066536
71,10463.604458893376,9491.321630862576,11400.805186636426,0.06413902679536859,0.27004015964827655,0.0,0.0,0.0,9544.587150397636,4.518467081680345,9539.412897886199,9549.533578198498,9546.004047559456,9538.329346363165
72,9864.03809191098,8943.164006870475,10732.271135216826,0.271730717223051,0.8153978642443114,0.0,0.3417280654949612,0.0,9102.66838654644,8.175348138924745,9093.263828113906,9111.533099949647,9105.285103280763,9092.627723757283
73,9311.639106911984,8442.69767844489,10112.552133104822,0.6327559701578367,1.7557460465763037,0.0,0.8946556903755587,0.0,8697.956173699273,14.174153100937534,8681.6655079269,8713.10432218367,8702.614548395759,8681.783811611207
74,8797.260955955653,7988.944687052813,9544.40370558744,0.8450134827719618,2.5561643181908495,0.0,0.8946556903755587,0.0,8238.345225037627,23.548045011189863,8211.40061984665,8263.165978826539,8246.16348896121,8209.683134397366
75,8314.171302917908,7551.179702073027,9008.955877313925,0.7028203373360271,2.696243694909682,0.0,0.3417280654949614,0.0,7703.91470341731,37.4758847043907,7661.291284495757,7742.9738246413235,7716.262976921171,7650.637261819145
76,7863.432839520632,7152.818267490352,8514.583866916706,0.6277413865347669,3.2204296423762493,0.0,0.0,0.0,7207.4231012066375,57.12775479539357,7142.59543969223,7266.35309967249,7226.311159070473,7119.516414605094
77,7442.067271134036,6760.871396747303,8048.16143226732,2.9777737267754762,8.705401369373128,0.0,6.020559098051614,0.0,6878.132887108732,83.45029441292832,6782.664583542217,6963.586676999567,6906.536930191435,6763.15565227156
78,7046.8558604430555,6386.914648549488,7623.2368676248625,10.290905211092054,22.90202127295042,0.0,26.966596615996608,0.0,6695.477503817134,116.90074159988261,6559.747797790213,6814.923671293702,6736.768649684755,6572.012171063883
79,6678.517545120045,6047.071494467185,7225.779525764524,18.97513828164704,40.03939745846948,0.0,51.60255694938032,0.0,6509.238511882255,157.11729489447197,6324.522849733395,6670.331078791133,6565.959084489597,6372.637463888728
80,6332.050568373918,5729.0337411929395,6859.113659355161,27.895732768460885,57.36686874763947,0.0,76.26225350994719,0.0,6250.8229231632695,202.58326843934879,6010.776238751254,6459.471000024913,6324.558381950414,6087.0384922612
81,6003.805159027779,5425.656564073474,6501.634709494035,40.52350318033726,79.50353548018835,0.0,113.22709290260994,0.0,5981.695067980736,250.5668657663744,5684.12665591356,6238.099657191873,6072.605159433356,5797.35374881617
82,5694.3616835175735,5151.38244440752,6148.991683416424,57.56355159227188,107.43008448694911,0.0,163.42146037876893,0.0,5734.188419546863,297.44724182729686,5382.9111552166305,6033.949400405165,5838.333784158286,5546.332615595398
83,5402.012086085245,4888.467062544801,5844.782751301828,77.55027575901117,137.94719962769489,0.0,220.4474297168471,0.0,5487.564294108078,339.15129333102504,5089.840949555792,5827.642912194601,5596.323030135156,5310.288379272639
84,5125.462007973534,4623.5169285533475,5563.2231250420455,106.73087002130897,175.03596830341147,0.0,301.1256125651536,0.0,5237.095033997292,371.6792600840874,4800.966003335529,5613.592894641089,5340.027416263673,5102.091615900684
85,4862.311097715098,4373.421073057166,5284.763670778478,153.18224295319826,222.97159313860408,0.0,418.30242387118466,11.244200412098614,4987.683344623683,392.4740471423968,4525.491606237952,5388.58287955282,5077.387483324857,4943.794030109136
86,4609.59510800159,4137.008826458551,5020.10611043886,197.38216658042776,264.6687045156847,0.0,517.8605167060354,30.189000941290594,4736.583415655406,402.3705871220967,4267.855618597539,5148.37734120269,4809.760807461526,4785.716135303574
87,4362.645969612067,3918.3438029625017,4786.211343711264,228.3721300866433,289.159291286799,0.0,565.8693381805319,64.0078677921069,4487.669243175862,405.6310961047573,4032.9160289496594,4903.958629859664,4542.995118244195,4598.785367130192
88,4120.703795976142,3708.536572569987,4536.308267377785,269.5927970362597,311.2828149441281,0.0,609.4937023909011,140.5222658445211,4243.708785135502,407.13739790387876,3812.8812964481076,4661.299596583749,4281.852732994488,4422.374998839009
89,3888.472113188563,3485.8273735038665,4302.701431314912,353.393960709157,344.1139291346357,22.32745311313267,707.3794186608695,270.90737587249083,4007.6777362549783,409.8026097345392,3597.950327436677,4422.705299729003,4034.422370225056,4305.329746097547
90,3668.8878097713896,3281.580007778756,4075.957031508933,482.85076101786774,377.16441178241894,100.8042644005896,851.4351051690426,431.7050990367624,3782.1099761134437,414.3603558022375,3387.374416442906,4192.172023633653,3807.1044225751866,4238.809521611948
91,3461.4759460354,3085.4324301397382,3862.9208332084136,621.1268291275636,400.200253232558,217.6883593082141,996.2292800524591,580.8001730026631,3568.510253925686,420.27900150292913,3182.3237481529045,3973.5886277655845,3597.7528552026997,4178.553028205362
92,3265.975997770202,2872.6286252785217,3666.203911452763,702.497627146418,413.0127958812012,295.0748677282067,1082.9731447131376,664.2788595048523,3367.1127626716807,426.5636754821038,2981.0493999469613,3768.9476769318917,3399.7436851552466,4064.022544660099
93,3083.0711822633957,2691.089744390341,3484.90007534932,702.760567037345,417.9547416304612,294.6326192163174,1085.2124680510497,664.0809577188832,3177.6733798297373,432.35008367499285,2789.2076826989123,3579.7875315336446,3210.339193031079,3874.420150749962
94,2910.363327199456,2531.4601696090217,3318.831795442477,692.5778160297208,421.6280142278014,282.56856992238227,1069.317912100402,654.7845663093167,2999.261373659485,437.1238863761429,2615.825780386754,3402.5751225647746,3030.3591261778397,3685.143692487156
95,2745.8679291989274,2382.8513561032955,3142.6596859017877,721.9273487442684,425.99124090268276,315.18917737561355,1087.1673499866665,686.421631154453,2830.501636717379,440.6289151542833,2459.0093998835305,3230.987572494584,2859.7551187157446,3546.176749870197
96,2590.4253939674827,2236.634824857651,2978.3413175013256,767.3373291794553,429.88953257340023,366.69711695596936,1123.2768050977043,733.8204567391828,2670.5717449157733,442.7731348571926,2309.320063453084,3065.899751594819,2698.7764118116056,3432.5968685507883
97,2443.4780638125167,2084.9649590254166,2841.238547215792,810.1277831190957,432.2473872924625,411.71262263871034,1163.8992457983495,779.9050416924796,2519.2304689406924,443.5575799786954,2160.909742644522,2913.096365804161,2544.9039467503917,3324.808988442871
98,2304.5246464909374,1939.5433149339692,2700.845755990786,886.7652816305465,433.89449072244895,486.4580827218934,1245.1103498829689,863.6379640414158,2376.290562501178,443.04761103604534,2014.3606243911138,2773.012891552189,2395.8330102326668,3259.4709742740833
99,2174.142176331192,1803.1161352045249,2578.0033939414693,1020.7249223559437,435.2574717520805,618.301266945429,1384.8300659014972,1005.8732852585142,2241.4829324427087,441.3440611065098,1875.0969495857466,2641.625748541814,2254.05373022873,3259.927015487244
